game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64734912,78,16,19,5,0,89,9,20,3,2,37,15,19,4,1,86,1,18,3,0,31,7,18,3,1,38,9,19,2,0
64734638,73,24,19,5,0,14,21,19,4,1,65,16,20,5,0,2,11,19,3,0,59,2,19,4,0,18,15,18,5,0
64734208,2,9,19,3,2,63,15,19,5,0,43,5,19,4,1,11,18,20,5,0,84,18,19,3,2,70,6,19,4,1
64475967,74,3,19,4,1,79,8,19,5,0,72,11,20,5,0,7,1,18,1,1,22,3,16,2,0,58,10,13,1,0
64475019,33,1,18,5,0,67,14,19,4,1,42,24,18,2,3,19,24,18,4,1,53,14,17,4,1,22,3,19,5,0
64683280,77,24,20,3,2,20,4,20,4,1,9,10,20,4,1,22,3,20,5,0,67,14,20,5,0,17,5,20,4,1
64680661,64,24,20,4,1,78,16,20,4,1,29,1,20,4,1,77,24,19,4,1,72,11,20,4,1,22,3,20,5,0
64682795,33,1,20,4,1,25,11,20,4,1,89,9,20,3,2,75,22,20,4,1,30,13,19,1,1,31,7,20,3,2
64681831,90,11,19,3,1,63,15,19,4,1,4,3,18,4,1,31,7,19,5,0,71,14,18,3,1,75,22,19,5,0
64680072,82,21,20,4,1,28,3,20,4,1,26,9,20,4,1,69,9,20,4,0,28,13,20,5,0,89,9,20,3,2
64674532,44,25,20,4,1,7,1,20,3,2,79,8,20,4,1,38,9,20,4,1,20,4,20,5,0,2,11,20,5,0
64673554,73,24,19,3,2,9,10,19,4,1,53,14,19,4,1,7,1,19,5,0,28,3,20,5,0,87,24,20,4,1
64671840,74,3,19,4,1,82,21,20,4,1,63,15,20,3,2,31,7,19,5,0,76,3,19,1,0,36,5,19,3,1
64670266,31,7,20,3,2,83,6,20,4,1,14,21,20,5,0,20,4,20,5,0,77,24,20,4,1,25,11,20,4,1
64731240,40,6,19,3,2,2,11,20,4,1,26,9,19,4,1,66,24,19,4,1,22,3,18,4,1,80,19,19,4,1
